#strain_name,accession,strain_taxon_id,seq_name
S288c,NC_001133,559292,I
S288c,NC_001134,559292,II
S288c,NC_001135,559292,III
S288c,NC_001136,559292,IV
S288c,NC_001137,559292,V
S288c,NC_001138,559292,VI
S288c,NC_001139,559292,VII
S288c,NC_001140,559292,VIII
S288c,NC_001141,559292,IX
S288c,NC_001142,559292,X
S288c,NC_001143,559292,XI
S288c,NC_001144,559292,XII
S288c,NC_001145,559292,XIII
S288c,NC_001146,559292,XIV
S288c,NC_001147,559292,XV
S288c,NC_001148,559292,XVI
DBVPG6044,CP020140.1,100000000001,I
DBVPG6044,CP020141.1,100000000001,II
DBVPG6044,CP020142.1,100000000001,III
DBVPG6044,CP020143.1,100000000001,IV
DBVPG6044,CP020144.1,100000000001,V
DBVPG6044,CP020145.1,100000000001,VI
DBVPG6044,CP020146.1,100000000001,VII
DBVPG6044,CP020147.1,100000000001,VIII
DBVPG6044,CP020148.1,100000000001,IX
DBVPG6044,CP020149.1,100000000001,X
DBVPG6044,CP020150.1,100000000001,XI
DBVPG6044,CP020151.1,100000000001,XII
DBVPG6044,CP020152.1,100000000001,XIII
DBVPG6044,CP020153.1,100000000001,XIV
DBVPG6044,CP020154.1,100000000001,XV
DBVPG6044,CP020155.1,100000000001,XVI
UWOPS03_461_4,CP020225.1,100000000002,I
UWOPS03_461_4,CP020226.1,100000000002,II
UWOPS03_461_4,CP020227.1,100000000002,III
UWOPS03_461_4,CP020228.1,100000000002,IV
UWOPS03_461_4,CP020229.1,100000000002,V
UWOPS03_461_4,CP020230.1,100000000002,VI
UWOPS03_461_4,CP020231.1,100000000002,VII
UWOPS03_461_4,CP020232.1,100000000002,VIII
UWOPS03_461_4,CP020233.1,100000000002,IX
UWOPS03_461_4,CP020234.1,100000000002,X
UWOPS03_461_4,CP020235.1,100000000002,XI
UWOPS03_461_4,CP020236.1,100000000002,XII
UWOPS03_461_4,CP020237.1,100000000002,XIII
UWOPS03_461_4,CP020238.1,100000000002,XIV
UWOPS03_461_4,CP020239.1,100000000002,XV
UWOPS03_461_4,CP020240.1,100000000002,XVI
Y12,CP020191.1,100000000003,I
Y12,CP020192.1,100000000003,II
Y12,CP020193.1,100000000003,III
Y12,CP020194.1,100000000003,IV
Y12,CP020195.1,100000000003,V
Y12,CP020196.1,100000000003,VI
Y12,CP020197.1,100000000003,VII
Y12,CP020198.1,100000000003,VIII
Y12,CP020199.1,100000000003,IX
Y12,CP020200.1,100000000003,X
Y12,CP020201.1,100000000003,XI
Y12,CP020202.1,100000000003,XII
Y12,CP020203.1,100000000003,XIII
Y12,CP020204.1,100000000003,XIV
Y12,CP020205.1,100000000003,XV
Y12,CP020206.1,100000000003,XVI
SK1,CP020174.1,100000000004,I
SK1,CP020175.1,100000000004,II
SK1,CP020176.1,100000000004,III
SK1,CP020177.1,100000000004,IV
SK1,CP020178.1,100000000004,V
SK1,CP020179.1,100000000004,VI
SK1,CP020180.1,100000000004,VII
SK1,CP020181.1,100000000004,VIII
SK1,CP020182.1,100000000004,IX
SK1,CP020183.1,100000000004,X
SK1,CP020184.1,100000000004,XI
SK1,CP020185.1,100000000004,XII
SK1,CP020186.1,100000000004,XIII
SK1,CP020187.1,100000000004,XIV
SK1,CP020188.1,100000000004,XV
SK1,CP020189.1,100000000004,XVI
YPS128,CP020208.1,100000000005,I
YPS128,CP020209.1,100000000005,II
YPS128,CP020210.1,100000000005,III
YPS128,CP020211.1,100000000005,IV
YPS128,CP020212.1,100000000005,V
YPS128,CP020213.1,100000000005,VI
YPS128,CP020214.1,100000000005,VII
YPS128,CP020215.1,100000000005,VIII
YPS128,CP020216.1,100000000005,IX
YPS128,CP020217.1,100000000005,X
YPS128,CP020218.1,100000000005,XI
YPS128,CP020219.1,100000000005,XII
YPS128,CP020220.1,100000000005,XIII
YPS128,CP020221.1,100000000005,XIV
YPS128,CP020222.1,100000000005,XV
YPS128,CP020223.1,100000000005,XVI
DBVPG6765,CP020157.1,100000000006,I
DBVPG6765,CP020158.1,100000000006,II
DBVPG6765,CP020159.1,100000000006,III
DBVPG6765,CP020160.1,100000000006,IV
DBVPG6765,CP020161.1,100000000006,V
DBVPG6765,CP020162.1,100000000006,VI
DBVPG6765,CP020163.1,100000000006,VII
DBVPG6765,CP020164.1,100000000006,VIII
DBVPG6765,CP020165.1,100000000006,IX
DBVPG6765,CP020166.1,100000000006,X
DBVPG6765,CP020167.1,100000000006,XI
DBVPG6765,CP020168.1,100000000006,XII
DBVPG6765,CP020169.1,100000000006,XIII
DBVPG6765,CP020170.1,100000000006,XIV
DBVPG6765,CP020171.1,100000000006,XV
DBVPG6765,CP020172.1,100000000006,XVI
EC1118,FN393058,643680,FN393058_1
EC1118,FN393059,643680,FN393059_1
EC1118,FN393060,643680,FN393060_2
EC1118,FN393062,643680,FN393062_1
EC1118,FN393063,643680,FN393063_1
EC1118,FN393064,643680,FN393064_1
EC1118,FN393065,643680,FN393065_1
EC1118,FN393066,643680,FN393066_1
EC1118,FN393067,643680,FN393067_1
EC1118,FN393068,643680,FN393068_1
EC1118,FN393069,643680,FN393069_1
EC1118,FN393070,643680,FN393070_1
EC1118,FN393071,643680,FN393071_1
EC1118,FN393072,643680,FN393072_1
EC1118,FN393073,643680,FN393073_1
EC1118,FN393074,643680,FN393074_1
EC1118,FN393075,643680,FN393075_2
EC1118,FN393076,643680,FN393076_1
EC1118,FN393077,643680,FN393077_1
EC1118,FN393078,643680,FN393078_1
EC1118,FN393079,643680,FN393079_1
EC1118,FN393080,643680,FN393080_1
EC1118,FN393081,643680,FN393081_1
EC1118,FN393082,643680,FN393082_1
EC1118,FN393083,643680,FN393083_2
EC1118,FN393084,643680,FN393084_1
EC1118,FN393085,643680,FN393085_1
EC1118,FN393086,643680,FN393086_1
EC1118,FN393087,643680,FN393087_1
EC1118,FN394216,643680,FN394216_1
EC1118,FN394217,643680,FN394217_1